code,name,source,TS,HR,PR,VV,DV,NUB
35025090,BOSQUE INTERVENIDO   [35025090],IDEAM,0,5.16,0.95,0.43,0.72,0
21206790,HDA STA ANA AUTOM [21206790],IDEAM,11.59,11.09,11.02,6.28,10.71,0
23195502,APTO PALONEGRO AUTOM,IDEAM,0,2.42,2.43,0.35,2.07,0
35185010,LA PALOMERA AUTOMATICA [35185010],IDEAM,0,9.58,5.68,5.63,5.56,0
800970,CAMILO DAZA,NOAA,7.86,7.86,7.86,7.86,7.86,7.86
800990,SANTIAGO PEREZ,NOAA,5.04,5.04,5.04,5.04,5.04,5.04
35085070,STA MARIA AUTOM [35085070],IDEAM,0,11.24,0.93,0.16,0.91,0
803420,ANTONIO NARINO,NOAA,4.37,4.37,4.37,4.37,4.37,4.37
21015040,LA PRIMAVERA AUTOMATICA [21015040],IDEAM,10.85,8.25,8.16,5.28,5.26,0
24035430,TUNGUAVITA AUTOMATICA [24035430],IDEAM,0,10.22,0.34,9.07,6.64,0
26247050,LAS CAMELIAS AUTOM  [26247050],IDEAM,0,0,0,0,0,0
803700,SAN LUIS,NOAA,4.28,4.28,4.28,4.28,4.28,4.28
800280,ERNESTO CORTISSOZ,NOAA,10.3,10.3,10.3,10.3,10.3,10.3
802223,GUAYMARAL,NOAA,0.02,0.02,0.02,0.02,0.02,0.02
821000,PARI-CACHOEIRA,NOAA,0,0,0,0,0,0
24015110,LA BOYERA AUTOMATICA [24015110],IDEAM,0,10.15,10.12,9.53,9.55,0
803540,FLORENCIA/CAPITOLIO,NOAA,0.02,0.02,0.02,0.02,0.02,0.02
35095120,AQUITANIA AUTOMATICA [35095120],IDEAM,0,11.62,1.07,1.06,1.06,0
21215150,NEV DEL TOLIMA AUTOMATICA [21215150],IDEAM,0,8.74,0,7.22,6.75,0
24035360,SOCHA AUTOMATICA [24035360],IDEAM,0,10.83,10.69,9.96,9.91,0
29065130,LA GRAN VIA AUTOMATICA [29065130],IDEAM,0,8.05,0.01,7.87,8.02,0
24035410,SOGAMOSO AUTOMATICA [24035410],IDEAM,0,8.42,8.89,8.03,8.04,0
16015110,UNIV FRANCISO DE PAULA AUTOMATICA [16015110],IDEAM,10.35,10.23,10.1,8.66,8.69,0
804480,GUASDUALITO,NOAA,4.67,4.67,4.67,4.67,4.67,4.67
802227,SANTA ANA,NOAA,0.01,0.01,0.01,0.01,0.01,0.01
35215020,APTO YOPAL AUTOMATICA [35215020],IDEAM,0,5.3,0.47,0.01,0.47,0
21205012,UNIV NACIONAL AUTOMATICA [21205012],IDEAM,5.47,5.57,5.58,5.58,4.95,0
51025080,ALTAQUER AUTOMATICA [51025080],IDEAM,0,1.31,0.27,0.27,0.26,0
15065501,MINA LA CERREJON - AUTOM [15065501],IDEAM,0.25,0.25,1.19,4.84,0.81,0
21115170,LA PLATA AUTOMATICA [21115170],IDEAM,8.55,8.86,8.75,8.18,8.37,0
802340,VANGUARDIA,NOAA,4.2,4.2,4.2,4.2,4.2,4.2
16055120,AGUAS DE LA VIRGEN AUTOMATICA [16055120],IDEAM,4.18,4.19,4.19,4.18,4.17,0
26085170,BASE AEREA MFS  [26085170],IDEAM,0,9.85,1,9.65,9.76,0
820670,IAUARETE,NOAA,1.17,1.17,1.17,1.17,1.17,1.17
23085270,A.J.M. CORDOVA   [23085270],IDEAM,0,3.53,2.86,3.39,3.35,0
803610,FABIO ALBERTO LEON BENTLEY,NOAA,0.01,0.01,0.01,0.01,0.01,0.01
