,stationcode,nombre,lat,lon,alt
0,35025090,BOSQUE INTERVENIDO   [35025090],4.664888888889,-73.846638888889,2944
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,37930,464232,0.08,37930,1,28/04/2009 05:00:00,24/02/2018 01:00:00
,VV,22749,60775,0.37,22749,1,31/12/2016 16:50:00,26/02/2018 18:00:00
,PR,49899,60797,0.82,49899,1,31/12/2016 16:10:00,26/02/2018 21:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,45214,77458,0.58,45214,1,28/04/2009 01:00:00,27/02/2018 11:00:00
1,21206790,HDA STA ANA AUTOM [21206790],5.0905,-73.88125,2572
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,97110,114418,0.85,94535,0.97,08/02/2005 01:00:00,27/02/2018 11:00:00
,VV,330171,686417,0.48,330005,1,08/02/2005 00:10:00,26/02/2018 19:00:00
,DV,563135,685996,0.82,563017,1,08/02/2005 00:10:00,23/02/2018 20:50:00
,PR,579292,686429,0.84,572606,0.99,08/02/2005 00:10:00,26/02/2018 21:00:00
,RS,94418,114344,0.83,79834,0.85,08/02/2005 01:00:00,24/02/2018 09:00:00
,TS,101486,114326,0.89,92199,0.91,08/02/2005 01:00:00,23/02/2018 15:00:00
2,23195502,APTO PALONEGRO AUTOM,7.121472222222,-73.184527777778,1189
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,18198,131628,0.14,18198,1,27/08/2015 21:00:00,26/02/2018 23:00:00
,PR,127779,131530,0.97,127779,1,28/08/2015 11:20:00,26/02/2018 21:00:00
,HR,21231,21955,0.97,21231,1,27/08/2015 17:00:00,27/02/2018 12:00:00
,DV,108768,131213,0.83,108767,1,27/08/2015 16:10:00,23/02/2018 21:00:00
,RS,21256,21881,0.97,20805,0.98,27/08/2015 17:00:00,24/02/2018 10:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
3,35185010,LA PALOMERA AUTOMATICA [35185010],4.260361111111,-72.564472222222,188
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,49338,10111,4.88,49217,1,01/01/2017 11:00:00,26/02/2018 18:00:00
,PR,49768,10114,4.92,49768,1,01/01/2017 11:00:00,26/02/2018 21:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,83928,109697,0.77,83901,1,23/08/2005 18:00:00,27/02/2018 11:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,48676,10041,4.85,48676,1,01/01/2017 11:00:00,23/02/2018 20:00:00
,RS,83462,109623,0.76,74257,0.89,23/08/2005 18:00:00,24/02/2018 09:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
4,800970,CAMILO DAZA,7.928,-72.512,334.1
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,68852,87580,0.79,5661,0.08,04/05/2008 14:00:00,01/05/2018 18:00:00
,VV,68852,87580,0.79,68570,1,04/05/2008 14:00:00,01/05/2018 18:00:00
,HR,68852,87580,0.79,66043,0.96,04/05/2008 14:00:00,01/05/2018 18:00:00
,DV,68852,87580,0.79,46361,0.67,04/05/2008 14:00:00,01/05/2018 18:00:00
,TS,68852,87580,0.79,66077,0.96,04/05/2008 14:00:00,01/05/2018 18:00:00
,NUB,68852,87580,0.79,68518,1,04/05/2008 14:00:00,01/05/2018 18:00:00
5,800990,SANTIAGO PEREZ,7.069,-70.737,128
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,44147,87506,0.5,44042,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,DV,44147,87506,0.5,18907,0.43,04/05/2008 14:00:00,28/04/2018 16:00:00
