DV,HR,NUB,PRE,RDIR,T,VV,AVG
PLUVIOMETRO AUTOMATICO TEMPORAL [21202270],0,0,0,0,0,41.568,0,5.94
APTO RAFAEL NUNEZ [14015020],2.582,11.23,8.527,1.427,0,11.236,2.909,5.42
ELDORADO DIDACTICA [21205520],1.435,10.948,10.826,0.142,0,10.96,1.822,5.16
A VASQUEZ COBO [48015010],1.663,10.281,8.063,1.228,0.83,10.288,2.705,5.01
APTO A BONILLA  [26075040],1.229,10.389,10.245,0.142,0,10.395,1.73,4.88
A.J M CORDOVA  [23085200],0.826,10.303,10.383,0.213,0,10.309,1.738,4.82
APTO MATECAÑA AUTOM [26125710],1.718,8.927,8.06,1.02,0.743,8.79,3.011,4.61
A.E CORTISSOZ   [29045020],1.547,10.176,8.286,0.129,0,10.195,1.707,4.58
FEDEARROZ AUTOMATICA [28035060],1.984,2.014,0,10.271,9.003,2.015,4.597,4.27
UNIV TECNOLOGICA DEL MAGDALENA AUTOMATICA [1501512],4.699,1.733,0,9.39,5.058,1.75,4.721,3.91
VILLA TERESA AUTOMATICA [21206920],2.659,3.675,0,3.629,6.635,3.676,5.32,3.66
APTO PALONEGRO [23195130],0.838,7.709,7.657,0.159,0,7.713,1.284,3.62
APTO CAMILO DAZA [16015010],0.882,7.539,7.822,0.108,0,7.543,1.305,3.60
IDEAM BOGOTA AUTOMATICA [21206960],3.025,2.989,0,3.154,5.729,3.033,5.99,3.42
CARMEN DE BOLIVAR AUTOMATICA [29015040],1.283,1.408,0,3.472,5.444,6.486,2.774,2.98
BATALLON ROOKE   [21215180],1.882,1.855,0,1.95,5.986,1.831,5.479,2.71
APTO SIMON BOLIVAR [15015050],0.658,5.707,5.748,0.108,0,5.711,0.965,2.70
APTO BENITO SALAS [21115020],0.443,5.821,5.594,0.133,0,5.825,0.965,2.68
METROMEDELLIN    [27015310],1.656,1.788,0,1.789,6.736,1.69,4.779,2.63
PTO NARIÑO AUTOM  [48015040],0,0,0,0,15.264,2.852,0.185,2.61
UNIV NACIONAL AUTOMATICA [21205012],1.867,2.182,0,2.182,6.024,2.139,3.886,2.61
APTO EL EDEN  [26125060],0.34,5.498,5.643,0.131,0,5.662,0.937,2.60
VILLA DEL ROSARIO  [16010010],0.351,5.546,5.533,0.021,0,5.597,0.618,2.52
NEOMUNDO AUTOMATICA [23195230],2.157,2.206,0,2.212,4.417,2.216,4.312,2.50
LETICIA [48017010],0.844,5.255,5.191,0,0,5.257,0.954,2.50
