regional stations: orinoquia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
BASE AEREA APIAY ,400,-73.559916666667,4.077111111111,0.5,7.518,0.048,0.098,0,7.535,1.256,2.42
APTO ARAUCA ,128,-70.738055555556,7.069444444444,0.36,5.028,4.817,0.112,0,5.032,0.836,2.31
PTE INTERNACIONAL ,122,-70.743888888889,7.090833333333,0.513,4.645,3.53,0.031,0,4.651,0.749,2.02
APTO PTO CARRENO  ,57,-67.491222222222,6.182436111111,0.419,3.59,3.207,0.093,0,3.595,0.598,1.64
CASUARITO ,65,-67.640194444444,5.682694444444,0.065,3.179,3.063,0.024,0,3.219,0.132,1.38
LA PALOMERA AUTOMATICA ,188,-72.564472222222,4.260361111111,0,0,0,0,3.369,3.832,0.394,1.09
EL DIAMANTE AUTOMATICA ,160,-71.419833333333,5.816194444444,0,0,0,0,2.108,1.614,0.239,0.57
APTO YOPAL AUTOMATICA ,325,-72.3875,5.320444444444,0,0,0,0,3.557,0,0.059,0.52
LA LIBERTAD AUTOMATICA ,336,-73.467916666667,4.057361111111,0,0,0,0,1.047,1.718,0.336,0.44
SARAVENA ,148,-71.890555555556,6.946388888889,0.059,0.512,0.534,0,0,0.514,0.091,0.24
APTO YOPAL ,325,-72.3875,5.320444444444,0.012,0.088,0.079,0,0,0.088,0.015,0.04
TAME ,350,-71.745027777778,6.456194444444,0.002,0.011,0.011,0,0,0.011,0.002,0.01
GAVIOTAS LAS ,171,-70.930111111111,4.553944444444,0,0,0,0,0,0,0,0
regional stations: andes,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
PLUVIOMETRO AUTOMATICO TEMPORAL ,2685,-74.072888888889,4.608055555556,0,0,0,0,0,41.568,0,5.94
ELDORADO DIDACTICA ,2546,-74.15,4.7,1.435,10.948,10.826,0.142,0,10.96,1.822,5.16
APTO A BONILLA  ,970,-76.386638888889,3.536688888889,1.229,10.389,10.245,0.142,0,10.395,1.73,4.88
A.J M CORDOVA  ,2157,-75.425916666667,6.168666666667,0.826,10.303,10.383,0.213,0,10.309,1.738,4.82
APTO MATECAÑA AUTOM ,1342,-75.739519444444,4.812675,1.718,8.927,8.06,1.02,0.743,8.79,3.011,4.61
VILLA TERESA AUTOMATICA ,3624,-74.15,4.35,2.659,3.675,0,3.629,6.635,3.676,5.32,3.66
APTO PALONEGRO ,1189,-73.184527777778,7.121472222222,0.838,7.709,7.657,0.159,0,7.713,1.284,3.62
APTO CAMILO DAZA ,250,-72.509166666667,7.930277777778,0.882,7.539,7.822,0.108,0,7.543,1.305,3.6
IDEAM BOGOTA AUTOMATICA ,2646,-74.066666666667,4.6,3.025,2.989,0,3.154,5.729,3.033,5.99,3.42
BATALLON ROOKE   ,1323,-75.248666666667,4.418388888889,1.882,1.855,0,1.95,5.986,1.831,5.479,2.71
APTO BENITO SALAS ,439,-75.293055555556,2.94875,0.443,5.821,5.594,0.133,0,5.825,0.965,2.68
METROMEDELLIN    ,144,-75.552111111111,6.32975,1.656,1.788,0,1.789,6.736,1.69,4.779,2.63
UNIV NACIONAL AUTOMATICA ,2556,-74.089083333333,4.638083333333,1.867,2.182,0,2.182,6.024,2.139,3.886,2.61
APTO EL EDEN  ,1229,-75.766388888889,4.454722222222,0.34,5.498,5.643,0.131,0,5.662,0.937,2.6
VILLA DEL ROSARIO  ,522,-72.477777777778,7.817777777778,0.351,5.546,5.533,0.021,0,5.597,0.618,2.52
NEOMUNDO AUTOMATICA ,970,-73.107305555556,7.102611111111,2.157,2.206,0,2.212,4.417,2.216,4.312,2.5
VIZCAINA LA LIZAMA AUTOMATICA ,114,-73.704888888889,6.982972222222,0.712,1.748,0,1.779,3.33,5.832,3.408,2.4
OLAYA HERRERA - AUTOM ,149,-75.588980555556,6.220611111111,0.415,4.341,4.272,0.082,1.168,4.349,1.878,2.36
APTO PERALES   ,943,-75.139416666667,4.424138888889,0.647,4.84,4.819,0.112,0,4.847,0.807,2.3
ICA VILLAVICENCIO AUTOMATICA ,444,-73.625,4.137388888889,0,1.982,0,2.031,7.409,2.031,2.39,2.26
NUEVA GENERACION AUTOMATICA,259,-74.094333333333,4.782222222222,1.416,2.02,0,1.428,5.463,2.723,2.782,2.26
UNIV DE CUNDINAMARCA  AUTOMATICA ,309,-74.808111111111,4.305333333333,1.367,1.475,0,1.481,3.289,1.486,5.275,2.05
APTO ANTONIO NARIÑO  ,1796,-77.290861111111,1.394083333333,0.492,4.366,4.309,0.098,0,4.369,0.726,2.05
APTO SAN LUIS ,2961,-77.67775,0.857083333333,0.445,4.27,4.246,0.113,0,4.273,0.71,2.01
FARALLONES AUTOM   ,227,-76.6515,3.416055555556,1.491,1.601,0,1.754,0,4.974,4.232,2.01
APTO YARIGUIES ,126,-73.808611111111,7.026388888889,0.348,4.273,4.225,0.097,0,4.277,0.71,1.99
UNIV FRANCISO DE PAULA AUTOMATICA ,311,-72.487166666667,7.898777777778,3.369,0,0,0,7.174,0,3.34,1.98
APTO VANGUARDIA   ,422,-73.617577777778,4.161919444444,0.228,4.032,4.132,0.107,0,4.036,0.697,1.89
ARAGON AUTOM   ,26,-75.827,6.534,0,0,0,0,4.335,4.36,3.529,1.75
EMAS AUTOM   ,2211,-75.507138888889,5.08525,0,0,0,0,8.051,0,4.164,1.75
BOTANA AUTOM   ,282,-77.278805555556,1.16,0,0,0,0,7.225,4.27,0.434,1.7
PURACE  AUTOMATICA ,19,-76.427555555556,1.925916666667,2.69,0,0,0,2.852,2.892,2.665,1.59
ARMENIA AUTOM   ,1485,-75.690694444444,4.531583333333,0,0,0,0,6.66,0,4.233,1.56
