LETICIA,amazonia,144.094543457031,-69.9470748911655,-3.9867
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,A VASQUEZ COBO ,84,-69.940916666667,-4.193861111111,1.663,10.281,8.063,1.228,0.83,10.288,2.705,5.01
,LETICIA ,120,-69.942722222222,-4.222527777778,0.844,5.255,5.191,0,0,5.257,0.954,2.5
MEDELLÍN,andes,1469.15234375,-75.5759735041668,6.25128995462448
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
ARAUCA,orinoquia,129,-70.759887688876,7.08993207472309
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO ARAUCA ,128,-70.738055555556,7.069444444444,0.36,5.028,4.817,0.112,0,5.032,0.836,2.31
,PTE INTERNACIONAL ,122,-70.743888888889,7.090833333333,0.513,4.645,3.53,0.031,0,4.651,0.749,2.02
RIOHACHA,caribe,10.0028705596924,-72.9114713534895,11.5438439676894
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO ALM. PADILLA ,4,-72.917666666667,11.529611111111,0.676,4.593,4.017,0.074,0,4.598,0.761,2.1
,APTO ALM. PADILLA - AUTOM ,4,-72.917666666667,11.529611111111,2.037,0.961,0,0.929,1.215,0.959,2.027,1.16
,MONGUI AUTOMATICA ,60,-72.820638888889,11.226777777778,1.534,0,0,0,0,0,1.347,0.41
PUERTO CARREÑO,orinoquia,53.7234230041504,-67.4984208441818,6.18503150761576
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO PTO CARRENO  ,57,-67.491222222222,6.182436111111,0.419,3.59,3.207,0.093,0,3.595,0.598,1.64
SANTA MARTA,caribe,8.09430408477783,-74.186383,11.24568
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO SIMON BOLIVAR ,4,-74.228888888889,11.128333333333,0.658,5.707,5.748,0.108,0,5.711,0.965,2.7
,LA GRAN VIA AUTOMATICA ,30,-74.133333333333,10.85,0,0,0,0,2.484,2.991,3.083,1.22
BARRANQUILLA,caribe,84.8703155517578,-74.810073845931,10.976521601973
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,A.E CORTISSOZ   ,14,-74.779722222222,10.917777777778,1.547,10.176,8.286,0.129,0,10.195,1.707,4.58
,En Barranquilla ,8,-74.820833333333,11.04,1.39,1.373,0,1.501,1.677,1.472,0,1.06
,A.E.CORTISSOZ AUTOM   ,14,-74.779722222222,10.917777777778,0,0,0,0,1.458,0,1.728,0.46
,SABANALARGA AUTOMATICA ,100,-74.918888888889,10.636722222222,0,0,0,0,0,0,1.24,0.18
VALLEDUPAR,caribe,174.875473022461,-73.2488861012257,10.4811574128405
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,FEDEARROZ AUTOMATICA ,184,-73.248055555556,10.463611111111,1.984,2.014,0,10.271,9.003,2.015,4.597,4.27
